Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_443.jpg;0;1;0;3.148983;105.3156;90.37684;1.379691;44.29688;-0.001505639
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_509.jpg;0;1;0;3.189839;105.4996;90.5548;1.383544;44.27932;-0.001072332
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_576.jpg;0;1;0;3.230244;105.6396;90.69019;1.386535;44.26313;-0.001538257
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_642.jpg;0;1;0;3.284767;105.7815;90.82725;1.390649;44.24868;-0.00144453
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_711.jpg;0;1;0;3.324449;105.9733;91.01252;1.392886;44.22972;-0.001111355
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_776.jpg;0;1;0;3.364415;106.1193;91.1534;1.397497;44.21382;-0.001120911
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_842.jpg;0;1;0;3.417623;106.267;91.29587;1.399889;44.19638;-0.001600076
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_910.jpg;0;1;0;3.458021;106.4667;91.48838;1.405369;44.17636;-0.001144347
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_19_977.jpg;0;1;0;3.496838;106.6186;91.6346;1.407682;44.1581;-0.00163579
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_043.jpg;0;1;0;3.550202;106.7721;91.7824;1.408233;44.14239;-0.001528289
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_110.jpg;0;1;0;3.588722;106.9796;91.98205;1.415885;44.11956;-0.001196929
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_175.jpg;0;1;0;3.627847;107.1372;92.13353;1.415599;44.10099;-0.00167711
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_243.jpg;0;1;0;3.680315;107.2966;92.28669;1.423312;44.08297;-0.001570147
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_311.jpg;0;1;0;3.718762;107.5117;92.49323;1.424945;44.05891;-0.001583813
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_375.jpg;0;1;0;3.757861;107.6751;92.64996;1.427763;44.03983;-0.00170717
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_443.jpg;0;1;0;3.808671;107.8403;92.80827;1.43267;44.02195;-0.00124343
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_509.jpg;0;1;0;3.847087;108.0631;93.02172;1.438012;43.99606;-0.0011639
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_577.jpg;0;1;0;3.88506;108.2322;93.18351;1.437533;43.97474;-0.001769789
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_642.jpg;0;1;0;3.936412;108.403;93.34691;1.442219;43.95501;-0.001654604
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_709.jpg;0;1;0;3.973724;108.6334;93.5671;1.4468;43.92811;-0.001307064
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_777.jpg;0;1;0;4.011611;108.8082;93.73402;1.451571;43.9073;-0.001210346
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_844.jpg;-1.509183;1;0;4.061719;108.9848;93.90228;1.453489;43.86118;-0.001222677
D:\Dropbox\Dropbox (Personal)\Courses\Robotics Software Engineer - Udacity\First Project\RoboND-Rover-Project\recorded_1\IMG\robocam_2018_07_08_16_21_20_909.jpg;-4.498353;1;0;4.098781;109.2245;94.12706;1.453791;43.37864;-0.0002588301
